route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
24B-202,Weekday-1,24-02403-41760-2-7612ac87,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Sunday-1,24-02403-43500-2-e4a1e037,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
755-202,Sunday-1,233-75504-74700-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-74700-2-93697d7b,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-78300-2-4f338745,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-78300-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
24B-202,Saturday-1,24-02403-43500-2-e640fd34,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-43560-2-7612ac87,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Sunday-1,24-02403-45300-2-0d45b5aa,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-45300-2-e640fd34,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-45360-2-7612ac87,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
755-202,Saturday-1,233-75504-78300-2-93697d7b,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-81900-2-318ab34c,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-81900-2-93697d7b,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-81900-2-c9633e9d,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
76-202,Weekday-1,234-07601-21000-2-bdfe1b87,Glen Innes To Britomart Via Orakei,,0,,234-07601-3f62e7fb,0,0
76-202,Weekend-1,234-07601-21000-2-cc51e289,Glen Innes To Britomart Via Orakei,,0,,234-07601-3f62e7fb,0,0
76-202,Weekday-1,234-07601-22500-2-bdfe1b87,Glen Innes To Britomart Via Orakei,,0,,234-07601-3f62e7fb,0,0
76-202,Weekend-1,234-07601-22800-2-cc51e289,Glen Innes To Britomart Via Orakei,,0,,234-07601-3f62e7fb,0,0
